scenario_id,base_converged,base_vm_min_pu,final_vm_min_pu,base_vm_max_pu,final_vm_max_pu,base_n_undervoltage,final_n_undervoltage,base_n_overvoltage,final_n_overvoltage,base_n_overloaded_lines,final_n_overloaded_lines,base_n_overloaded_trafos,final_n_overloaded_trafos,base_line_loading_max_pct,final_line_loading_max_pct,base_trafo_loading_max_pct,final_trafo_loading_max_pct,base_voltage_deficit_sum_pu,final_voltage_deficit_sum_pu,base_voltage_deficit_max_pu,final_voltage_deficit_max_pu,base_voltage_deficit_sq_sum_pu,final_voltage_deficit_sq_sum_pu,improved_vm_min,reduced_undervoltage_count,reduced_voltage_deficit_sum,accepted_action_count,termination_reason,error
fed_combined_load_1p25_line_101_MG1,True,0.9272108217802723,0.9442259207398095,1.05,1.05,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475087324056163,4.475087324056155,6.914112267912518,6.853608059902603,0.0908455807533064,0.005774079260190468,0.0227891782197277,0.005774079260190468,0.001468780168432161,3.33399913029617e-05,True,True,True,6.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_127_MG3,True,0.9266204258906112,0.9473125678296028,1.0500000000000003,1.05,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.47508732405616,4.475087324056159,6.7686877170812645,6.72682355714906,0.0907078759195209,0.0026874321703971304,0.023379574109388734,0.0026874321703971304,0.0014934949368755114,7.222291670485431e-06,True,True,True,5.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_128_MG3,True,0.9259926081157955,0.9430000000000002,1.05,1.0499999999999998,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4750873240561555,4.475087324056161,6.848109058464963,6.813833152535185,0.09294565937837673,0.013482707949043937,0.02400739188420442,0.006999999999999784,0.0015705480776074944,6.784865234569556e-05,True,True,True,5.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_129_MG3,True,0.9265939824758097,0.9463866087231049,1.0500000000000003,1.05,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.475087324056158,4.475087324056156,6.77685791077232,6.733165697756811,0.09081287697579576,0.004441986474924664,0.023406017524190248,0.0036133912768950838,0.0014969109257956764,1.3743166522139162e-05,True,True,True,4.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_135_MG3,True,0.9251901911597569,0.9464797983818617,1.0500000000000003,1.05,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.475087324056155,4.475087324056162,6.755638281437913,6.712664079065761,0.09504010823791653,0.004286554322729952,0.024809808840243086,0.0035202016181382634,0.0016534735554249158,1.2979115900178242e-05,True,True,True,5.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_136_MG3,True,0.9258262808606194,0.9463313207741092,1.0500000000000003,1.05,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.475087324056156,4.475087324056151,6.77915443547345,6.7430697093544305,0.09291861840614235,0.004534194222402199,0.0241737191393806,0.0036686792258907586,0.0015753874686687914,1.4208323471668615e-05,True,True,True,4.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_138_MG3,True,0.9248618122285441,0.9463283732594421,1.05,1.05,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475087324056157,4.475087324056157,6.7556831568290425,6.695245913019532,0.09603940954015355,0.004943465492530552,0.025138187771455822,0.003671626740557876,0.0016916896405854075,1.4396936195566754e-05,True,True,True,5.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_139_MG3,True,0.9259199112197484,0.9465787382463586,1.05,1.05,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4750873240561555,4.475087324056161,6.774247281787986,6.768926717976327,0.09310542267289157,0.0068839617329874425,0.024080088780251585,0.003421261753641325,0.0015781338986592453,1.9825917475584513e-05,True,True,True,6.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_140_MG3,True,0.9261126941974912,0.9485339114276985,1.05,1.05,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.475087324056162,4.475087324056156,6.769695733220147,6.750778788196336,0.09246308492736677,0.0014660885723014605,0.02388730580250875,0.0014660885723014605,0.0015550797187385882,2.1494157018329347e-06,True,True,True,7.0,stopped_no_deficit_reducing_safe_action_found,
fed_combined_load_1p25_line_165_MG1,True,0.9266686870390417,0.9507944489391228,1.0500000000000003,1.05,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.475087324056152,4.47508732405616,6.762278858044442,6.723217788598405,0.09252904485864666,0.0,0.02333131296095825,0.0,0.0015096427072237794,0.0,True,True,True,4.0,success_all_voltages_above_vmin,
